date,focal,act,partner,focgroup,prtgroup,focsex,prtsex,dyadtype,group.combo,behav,direction,period,winner,loser,Intensity,id1,id2,Dyad,Obs.effort,outcome,rval,RankDiff,winner.group,loser.group,win,s1,d1,s2,d2,relative.size
4/30/14,oy,dp2,ob,PHG,PHG,F,F,FF,same,dp,2,Stable,ob,oy,0,oy,ob,ob_oy,4290,split apart,0.25,0.405578306,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
4/30/14,oy,dt2,oa,PHG,PHG,F,F,FF,same,dt,2,Stable,oa,oy,0,oy,oa,oa_oy,4290,split apart,0.5,0.639122045,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
5/1/14,oa,dc2,dz,PHG,PHG,F,F,FF,same,dc,2,Stable,dz,oa,1,oa,dz,dz_oa,4380,split apart,0,0.083862817,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
5/9/14,oa,dt1,ug,PHG,PHG,F,F,FF,same,dt,1,Stable,oa,ug,0,oa,ug,oa_ug,4380,split apart,0,0.47220978,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
5/16/14,fx,dd1,ux,PHG,PHG,F,F,FF,same,dd,1,Stable,fx,ux,0,fx,ux,fx_ux,4500,split apart,0,0.823966846,PHG,PHG,1,PHG,PHG,PHG,ENK,remainer
5/19/14,ux,dd2,oo,PHG,PHG,F,F,FF,same,dd,2,Stable,oo,ux,0,ux,oo,oo_ux,4440,split apart,0,0.648224337,PHG,PHG,0,PHG,ENK,PHG,YNT,remainer
5/24/14,tr,dd1,un,PHG,PHG,F,F,FF,same,dd,1,Stable,tr,un,0,tr,un,tr_un,4470,split apart,0,0.582653905,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
5/24/14,tr,dp1,un,PHG,PHG,F,F,FF,same,dp,1,Stable,tr,un,0,tr,un,tr_un,4470,split apart,0,0.582653905,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
5/24/14,ux,dd2,ob,PHG,PHG,F,F,FF,same,dd,2,Stable,ob,ux,0,ux,ob,ob_ux,4410,split apart,0,0.435890047,PHG,PHG,0,PHG,ENK,PHG,YNT,remainer
5/27/14,ob,dd2,fx,PHG,PHG,F,F,FF,same,dd,2,Stable,fx,ob,0,ob,fx,fx_ob,4410,split apart,0,0.388076799,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
5/30/14,bf,dd1,oo,PHG,PHG,F,F,FF,same,dd,1,Stable,bf,oo,0,bf,oo,bf_oo,4410,split apart,0,0.351775663,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
5/30/14,oa,dc1,un,PHG,PHG,F,F,FF,same,dc,1,Stable,oa,un,1,oa,un,oa_un,4365,split apart,0,0.568451803,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
5/30/14,oy,dn1,oo,PHG,PHG,F,F,FF,same,dn,1,Stable,oy,oo,0,oy,oo,oo_oy,4320,split apart,0,0.617912595,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
6/2/14,bf,dd1,oa,PHG,PHG,F,F,FF,same,dd,1,Stable,bf,oa,0,bf,oa,bf_oa,4380,split apart,0,0.330566213,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
6/2/14,bf,dd1,oo,PHG,PHG,F,F,FF,same,dd,1,Stable,bf,oo,0,bf,oo,bf_oo,4410,split apart,0,0.351775663,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
6/5/14,ob,dn1,ug,PHG,PHG,F,F,FF,same,dn,1,Stable,ob,ug,0,ob,ug,ob_ug,4380,split apart,0,0.23866604,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
6/5/14,ob,dt1,ug,PHG,PHG,F,F,FF,same,dt,1,Stable,ob,ug,0,ob,ug,ob_ug,4380,split apart,0,0.23866604,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
6/16/14,ty,dd1,oa,PHG,PHG,F,F,FF,same,dd,1,Stable,ty,oa,0,ty,oa,oa_ty,4290,split apart,0,0.270414184,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
6/17/14,oo,dd2,dz,PHG,PHG,F,F,FF,same,dd,2,Stable,dz,oo,0,oo,dz,dz_oo,4410,split apart,0,0.105072267,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
6/17/14,oo,dp1,ur,PHG,PHG,F,F,FF,same,dp,1,Stable,oo,ur,0,oo,ur,oo_ur,4395,split apart,0,0.163777603,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
6/17/14,oo,dt1,ur,PHG,PHG,F,F,FF,same,dt,1,Stable,oo,ur,0,oo,ur,oo_ur,4395,split apart,0,0.163777603,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
6/17/14,ur,dt2,oa,PHG,PHG,F,F,FF,same,dt,2,Stable,oa,ur,0,ur,oa,oa_ur,4365,split apart,0,0.184987053,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
6/30/14,ux,dp2,ob,PHG,PHG,F,F,FF,same,dp,2,Stable,ob,ux,0,ux,ob,ob_ux,4410,split apart,0,0.435890047,PHG,PHG,0,PHG,ENK,PHG,YNT,remainer
6/30/14,ux,dp2,un,PHG,PHG,F,F,FF,same,dp,2,Stable,un,ux,0,ux,un,un_ux,4455,split apart,0,0.100981984,PHG,PHG,0,PHG,ENK,PHG,PHG,leaver
7/3/14,oa,dc1,ux,PHG,PHG,F,F,FF,same,dc,1,Stable,oa,ux,1,oa,ux,oa_ux,4410,split apart,0,0.669433787,PHG,PHG,1,PHG,YNT,PHG,ENK,leaver
7/3/14,ug,dd2,oa,PHG,PHG,F,F,FF,same,dd,2,Stable,oa,ug,0,ug,oa,oa_ug,4380,split apart,0,0.47220978,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
7/28/14,fx,dp1,oo,PHG,PHG,F,F,FF,same,dp,1,Stable,fx,oo,0,fx,oo,fx_oo,4440,split apart,0,0.175742509,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
7/28/14,fx,dt1,oo,PHG,PHG,F,F,FF,same,dt,1,Stable,fx,oo,0,fx,oo,fx_oo,4440,split apart,0,0.175742509,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
8/18/14,o6,dt2,ux,PHG,PHG,F,F,FF,same,dt,2,Stable,ux,o6,0,o6,ux,o6_ux,1755,split apart,0,0.144358455,PHG,PHG,0,PHG,YNT,PHG,ENK,leaver
8/20/14,ur,dt2,o6,PHG,PHG,F,F,FF,same,dt,2,Stable,o6,ur,0,ur,o6,o6_ur,1755,split apart,0,0.340088279,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/1/14,ob,dd2,bf,PHG,PHG,F,F,FF,same,dd,2,Stable,bf,ob,0,ob,bf,bf_ob,4380,split apart,0,0.564109953,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
9/1/14,ur,dt2,o6,PHG,PHG,F,F,FF,same,dt,2,Stable,o6,ur,0,ur,o6,o6_ur,1755,split apart,0,0.340088279,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/2/14,oo,dc1,un,PHG,PHG,F,F,FF,same,dc,1,Stable,oo,un,1,oo,un,oo_un,4395,split apart,0,0.547242353,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
9/4/14,fd,dd1,ux,PHG,PHG,F,F,FF,same,dd,1,Stable,fd,ux,0,fd,ux,fd_ux,4455,split apart,0,0.894637088,PHG,PHG,1,PHG,PHG,PHG,ENK,remainer
9/10/14,dz,dd1,o6,PHG,PHG,F,F,FF,same,dd,1,Stable,dz,o6,0,dz,o6,dz_o6,1770,split apart,0,0.60893815,PHG,PHG,1,PHG,PHG,PHG,YNT,remainer
9/10/14,oo,dd2,bf,PHG,PHG,F,F,FF,same,dd,2,Stable,bf,oo,0,oo,bf,bf_oo,4410,split apart,0,0.351775663,PHG,PHG,0,PHG,YNT,PHG,PHG,leaver
9/10/14,uj,dc2,ob,PHG,PHG,F,F,FF,same,dc,2,Stable,ob,uj,1,uj,ob,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/10/14,uj,dc2,ob,PHG,PHG,F,F,FF,same,dc,2,Stable,ob,uj,1,uj,ob,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/10/14,uj,dp2,ob,PHG,PHG,F,F,FF,same,dp,2,Stable,ob,uj,0,uj,ob,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/10/14,uj,dp2,ob,PHG,PHG,F,F,FF,same,dp,2,Stable,ob,uj,0,uj,ob,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/10/14,uj,dt2,ob,PHG,PHG,F,F,FF,same,dt,2,Stable,ob,uj,0,uj,ob,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/10/14,uj,dt2,ob,PHG,PHG,F,F,FF,same,dt,2,Stable,ob,uj,0,uj,ob,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/10/14,uj,dt2,ob,PHG,PHG,F,F,FF,same,dt,2,Stable,ob,uj,0,uj,ob,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/10/14,uj,dt2,ob,PHG,PHG,F,F,FF,same,dt,2,Stable,ob,uj,0,uj,ob,ob_uj,2970,split apart,0,0.181509258,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/11/14,oa,dt1,bf,PHG,PHG,F,F,FF,same,dt,1,Stable,oa,bf,0,oa,bf,bf_oa,4380,split apart,0,0.330566213,PHG,PHG,1,PHG,YNT,PHG,PHG,leaver
9/16/14,ux,dd2,fx,PHG,PHG,F,F,FF,same,dd,2,Stable,fx,ux,0,ux,fx,fx_ux,4500,split apart,0,0.823966846,PHG,PHG,0,PHG,ENK,PHG,PHG,leaver
9/16/14,ux,dt1,o6,PHG,PHG,F,F,FF,same,dt,1,Stable,ux,o6,0,ux,o6,o6_ux,1755,split apart,0,0.144358455,PHG,PHG,1,PHG,ENK,PHG,YNT,remainer
9/16/14,uz,dd2,oa,PHG,PHG,F,F,FF,same,dd,2,Stable,oa,uz,0,uz,oa,oa_uz,4440,split apart,0,0.356265633,PHG,PHG,0,PHG,PHG,PHG,YNT,remainer
9/18/14,ux,dp2,oy,PHG,PHG,F,F,FF,same,dp,2,Stable,oy,ux,0,ux,oy,oy_ux,4380,split apart,0,0.030311742,PHG,PHG,0,PHG,ENK,PHG,PHG,leaver
