Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,rval,kincat2,start1,destination1,start2,destination2,avg.rank1,avg.rank2,RankDiff,dob1,dob2,agediff,outcome.long,outcome.short
by_ut,4200,Stable,by,ut,2.0000,f,ENK,f,ENK,ff,same,0.0005,0,Non-kin,ENK,ENK,ENK,ENK,0.288,0.183,0.105,1/5/99,2/27/99,0.145106092,stayed together,stayed
by_uv,4245,Stable,by,uv,16.5667,f,ENK,f,ENK,ff,same,0.0039,0,Non-kin,ENK,ENK,ENK,ENK,0.288,0.822,0.534,1/5/99,7/24/07,8.547570157,stayed together,stayed
by_ux,4335,Stable,by,ux,2.5000,f,ENK,f,PHG,ff,different,0.0006,0,Non-kin,ENK,ENK,PHG,ENK,0.288,0.000,0.288,1/5/99,1/15/07,8.027378508,stayed together,stayed
by_uz,4365,Stable,by,uz,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,ENK,ENK,PHG,PHG,0.288,0.313,0.025,1/5/99,5/27/08,9.3908282,never together,never
dz_fd,4425,Stable,dz,fd,0.0000,f,PHG,f,PHG,ff,same,0.0000,0.125,Aunt-niece,PHG,PHG,PHG,PHG,0.753,0.895,0.141,1/11/91,11/28/99,8.878850103,stayed together,stayed
dz_fx,4470,Stable,dz,fx,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.753,0.824,0.071,1/11/91,11/24/05,14.86926762,stayed together,stayed
dz_o6,1770,Stable,dz,o6,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.753,0.144,0.609,1/11/91,11/21/09,18.86105407,split apart,split
dz_oa,4380,Stable,dz,oa,3.3333,f,PHG,f,PHG,ff,same,0.0008,0,Non-kin,PHG,PHG,PHG,YNT,0.753,0.669,0.084,1/11/91,9/14/01,10.67488022,split apart,split
dz_ob,4380,Stable,dz,ob,0.1000,f,PHG,f,PHG,ff,same,2.28310502283105e-05,0,Non-kin,PHG,PHG,PHG,YNT,0.753,0.436,0.317,1/11/91,7/11/08,17.49760438,split apart,split
dz_oo,4410,Stable,dz,oo,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.753,0.648,0.105,1/11/91,4/8/07,16.23819302,split apart,split
