Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,Male.Rank,Fem.Rank,RankDiff,s1,d1,s2,d2,outcome,,
bt_co,810,Fission,bt,co,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.133,0.536,PHG,PHG,PHG,PHG,stayed together,,
bt_dz,1200,Fission,bt,dz,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.753,0.084,PHG,PHG,PHG,PHG,stayed together,,
bt_dz,1515,Dispersal 2,bt,dz,5.433,m,PHG,f,PHG,fm,same,0.0036,0.669,0.753,0.084,PHG,PHG,PHG,PHG,stayed together,,
bt_dz,1725,Dispersal 1,bt,dz,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.753,0.084,PHG,PHG,PHG,PHG,stayed together,,
bt_dz,3525,Stable,bt,dz,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.753,0.084,PHG,PHG,PHG,PHG,stayed together,,
bt_fd,1200,Fission,bt,fd,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.895,0.226,PHG,PHG,PHG,PHG,stayed together,,
bt_fd,1500,Dispersal 2,bt,fd,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.895,0.226,PHG,PHG,PHG,PHG,stayed together,,
bt_fd,1725,Dispersal 1,bt,fd,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.895,0.226,PHG,PHG,PHG,PHG,stayed together,,
bt_fd,3510,Stable,bt,fd,0.000,m,PHG,f,PHG,fm,same,0.0000,0.669,0.895,0.226,PHG,PHG,PHG,PHG,stayed together,,
bt_fx,1230,Fission,bt,fx,47.400,m,PHG,f,PHG,fm,same,0.0385,0.669,0.824,0.155,PHG,PHG,PHG,PHG,stayed together,,
bt_fx,1545,Dispersal 2,bt,fx,13.183,m,PHG,f,PHG,fm,same,0.0085,0.669,0.824,0.155,PHG,PHG,PHG,PHG,stayed together,,
bt_fx,1785,Dispersal 1,bt,fx,6.617,m,PHG,f,PHG,fm,same,0.0037,0.669,0.824,0.155,PHG,PHG,PHG,PHG,stayed together,,
